disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
4852,2024-12-24T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2024-10-05T00:00:00.000Z,2024-10-06T00:00:00.000Z,Major Disaster,ND,North Dakota                  ,Fire,2024-12-25T00:00:00.000Z,2024-12-25T00:00:00.000Z,,8,0,0,1,1,"2,R",2024-11-21T00:00:00.000Z,https://www.fema.gov/disaster/4852,https://gis.fema.gov/maps/dec_4852.zip,https://gis.fema.gov/maps/dec_4852.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4852%27,6ae342bc-4ecb-4a8a-9d90-c8c73f695a18,abb1582352c7fdc532a08a7f70a0192d78412879,2025-03-11T19:21:45.366Z
5548,2024-12-10T00:00:00.000Z,FRANKLIN FIRE,2024-12-10T00:00:00.000Z,2024-12-18T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2024-12-10T00:00:00.000Z,2025-02-07T00:00:00.000Z,,9,0,0,1,1,R,2024-12-10T00:00:00.000Z,https://www.fema.gov/disaster/5548,,,,c2d5dcf4-e3f9-47d4-a593-a292ef9cf130,7e502e0197d60372e15992b8619389563753e871,2025-03-11T19:21:45.366Z
4851,2024-12-09T00:00:00.000Z,POST-TROPICAL STORM HELENE,2024-09-25T00:00:00.000Z,2024-09-28T00:00:00.000Z,Major Disaster,WV,West Virginia                 ,Tropical Storm,2024-12-09T00:00:00.000Z,2024-12-09T00:00:00.000Z,,3,1,0,0,1,4,2024-10-25T00:00:00.000Z,https://www.fema.gov/disaster/4851,https://gis.fema.gov/maps/dec_4851.zip,https://gis.fema.gov/maps/dec_4851.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4851%27,aec6223f-ccf9-4fbb-a810-d3102eb736f7,918e3056030f4ed671463e9e1e603b4342f5ec96,2025-03-11T19:21:45.366Z
4849,2024-11-26T00:00:00.000Z,WILDFIRES,2024-07-17T00:00:00.000Z,2024-08-21T00:00:00.000Z,Major Disaster,WA,Washington                    ,Fire,2024-11-27T00:00:00.000Z,2024-11-27T00:00:00.000Z,,10,0,0,1,1,R,2024-10-16T00:00:00.000Z,https://www.fema.gov/disaster/4849,https://gis.fema.gov/maps/dec_4849.zip,https://gis.fema.gov/maps/dec_4849.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4849%27,c0ff52dd-514b-49ba-b7e2-9d4e712c52ae,9c098b0b068fd6ec62d7c9bdda4a3962a89b923f,2025-03-11T19:21:45.366Z
4847,2024-11-14T00:00:00.000Z,SEVERE STORM AND STRAIGHT-LINE WINDS,2024-08-06T00:00:00.000Z,2024-08-06T00:00:00.000Z,Major Disaster,MT,Montana                       ,Severe Storm,2024-11-14T00:00:00.000Z,2024-11-14T00:00:00.000Z,,8,1,0,0,1,"2,W",2024-10-05T00:00:00.000Z,https://www.fema.gov/disaster/4847,https://gis.fema.gov/maps/dec_4847.zip,https://gis.fema.gov/maps/dec_4847.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4847%27,4f088e5a-4864-43bc-8ef3-461d51a59ff3,268954061eef62535f47563cd867c4fd43d052b7,2025-03-11T19:21:45.366Z
4846,2024-11-13T00:00:00.000Z,LANDSLIDES,2024-08-25T00:00:00.000Z,2024-08-25T00:00:00.000Z,Major Disaster,AK,Alaska                        ,Mud/Landslide,2024-11-14T00:00:00.000Z,2024-11-14T00:00:00.000Z,,10,0,0,1,1,M,2024-10-24T00:00:00.000Z,https://www.fema.gov/disaster/4846,https://gis.fema.gov/maps/dec_4846.zip,https://gis.fema.gov/maps/dec_4846.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4846%27,d1b3f3c2-e795-4366-89ef-e6084e265954,e989e69b988319524a7adefb156d01975ddd055a,2025-03-11T19:21:45.366Z
4845,2024-11-13T00:00:00.000Z,WILDFIRES,2024-08-21T00:00:00.000Z,2024-08-31T00:00:00.000Z,Major Disaster,WY,Wyoming                       ,Fire,2024-11-14T00:00:00.000Z,2024-11-14T00:00:00.000Z,,8,0,0,1,1,R,2024-10-16T00:00:00.000Z,https://www.fema.gov/disaster/4845,https://gis.fema.gov/maps/dec_4845.zip,https://gis.fema.gov/maps/dec_4845.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4845%27,7f65a592-03f7-4041-8ca9-bbc9bae2f084,79b9edad8bc8ac33c2f728b84775b9970168aea9,2025-03-11T19:21:45.366Z
5546,2024-11-11T00:00:00.000Z,CALLAHAN FIRE,2024-11-11T00:00:00.000Z,2024-11-13T00:00:00.000Z,Fire Management,NV,Nevada                        ,Fire,2024-11-13T00:00:00.000Z,2025-02-07T00:00:00.000Z,,9,0,0,1,1,R,2024-11-11T00:00:00.000Z,https://www.fema.gov/disaster/5546,,,,196dd6dd-01be-4446-84eb-06fa737d8687,5a780767da3be5c970d21016ab9f288869f778c4,2025-03-11T19:21:45.366Z
5545,2024-11-06T00:00:00.000Z,MOUNTAIN FIRE,2024-11-06T00:00:00.000Z,2024-11-15T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2024-11-12T00:00:00.000Z,2025-02-07T00:00:00.000Z,,9,0,0,1,1,R,2024-11-06T00:00:00.000Z,https://www.fema.gov/disaster/5545,,,,bf8b5700-e3bf-4da2-9948-337d0bec3b38,081fa227c4d4b870b2f45ea0e218a2de5791b0c6,2025-03-11T19:21:45.366Z
4844,2024-11-05T00:00:00.000Z,HURRICANE MILTON,2024-10-05T00:00:00.000Z,2024-11-02T00:00:00.000Z,Major Disaster,FL,Florida                       ,Hurricane,2024-11-06T00:00:00.000Z,2024-11-20T00:00:00.000Z,,4,1,0,1,1,H,2024-10-25T00:00:00.000Z,https://www.fema.gov/disaster/4844,https://gis.fema.gov/maps/dec_4844.zip,https://gis.fema.gov/maps/dec_4844.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4844%27,f515aa0b-9bb6-4927-a8b5-e9368be18d9d,ae01fc071c8ee10c6eceedff957b2233794ff18f,2025-03-11T19:21:45.366Z
4843,2024-11-01T00:00:00.000Z,SEVERE STORM AND FLOODING ,2024-10-19T00:00:00.000Z,2024-10-20T00:00:00.000Z,Major Disaster,NM,New Mexico                    ,Flood,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,,6,1,0,1,1,F,2024-10-28T00:00:00.000Z,https://www.fema.gov/disaster/4843,https://gis.fema.gov/maps/dec_4843.zip,https://gis.fema.gov/maps/dec_4843.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4843%27,68fa74d8-ffa3-4fd2-b9b3-16c1ee8019c6,6e39140d9b81627849996ef4150f68486108d6e2,2025-03-11T19:21:45.366Z
5544,2024-10-30T00:00:00.000Z,NORTH ROAD FIRE,2024-10-29T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,2024-10-30T00:00:00.000Z,2024-10-30T00:00:00.000Z,,6,0,0,1,1,R,2024-10-29T00:00:00.000Z,https://www.fema.gov/disaster/5544,,,,67b5971c-97f7-48c6-af15-848b41c20f67,1d4eb4bb13c73d44c63872ef35d2dec0dc5e1795,2025-03-11T19:21:45.366Z
5543,2024-10-30T00:00:00.000Z,EUCHEE CREEK FIRE,2024-10-29T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,2024-10-30T00:00:00.000Z,2024-10-30T00:00:00.000Z,,6,0,0,1,1,R,2024-10-29T00:00:00.000Z,https://www.fema.gov/disaster/5543,,,,f181385f-9db5-4402-ab98-f8de314ed3cd,80362e577fd1ee4c4305c2ff49d18fddd124f4e3,2025-03-11T19:21:45.366Z
51,1956-03-15T00:00:00.000Z,FLOOD,1956-03-15T00:00:00.000Z,1956-03-15T00:00:00.000Z,Major Disaster,PA,Pennsylvania                  ,Flood,1993-07-21T00:00:00.000Z,2001-09-09T00:00:00.000Z,1959-06-01T00:00:00.000Z,3,0,1,1,1,,1956-03-15T00:00:00.000Z,https://www.fema.gov/disaster/51,,,,89afbee6-36a3-45c5-8677-0ab116d59865,8e02938ed95ee16df760a1b524edd52113a95f47,2025-03-11T19:21:45.366Z
4841,2024-10-25T00:00:00.000Z,TROPICAL STORM ERNESTO,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,Major Disaster,VI,Virgin Islands of the U.S.    ,Tropical Storm,2024-10-25T00:00:00.000Z,2024-10-25T00:00:00.000Z,,2,0,0,1,1,"4,W",2024-09-13T00:00:00.000Z,https://www.fema.gov/disaster/4841,https://gis.fema.gov/maps/dec_4841.zip,https://gis.fema.gov/maps/dec_4841.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4841%27,bb9f3d98-2f3a-47e9-93ae-9834f8eba7f2,8877c7d8eb7e9c8f582e9bfe1b763a5d1ca99bf4,2025-03-11T19:21:45.366Z
4840,2024-10-25T00:00:00.000Z,FLOODING,2024-08-22T00:00:00.000Z,2024-08-23T00:00:00.000Z,Major Disaster,AZ,Arizona                       ,Flood,2024-10-25T00:00:00.000Z,2024-10-25T00:00:00.000Z,,9,1,0,1,1,F,2024-09-20T00:00:00.000Z,https://www.fema.gov/disaster/4840,https://gis.fema.gov/maps/dec_4840.zip,https://gis.fema.gov/maps/dec_4840.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4840%27,ae53378a-9d86-4b25-8125-35d285480a2c,cb5046164255ae75634e68b2230c753cd00f736a,2025-03-11T19:21:45.366Z
5542,2024-10-24T00:00:00.000Z,HAWTHORNE FIRE ,2024-10-21T00:00:00.000Z,,Fire Management,CT,Connecticut                   ,Fire,2024-10-25T00:00:00.000Z,2024-10-25T00:00:00.000Z,,1,0,0,1,1,R,2024-10-24T00:00:00.000Z,https://www.fema.gov/disaster/5542,,,,21d38864-2443-40ac-9a63-f36fe2d59518,4f96b862a7a916413976319ea1dd1ad7439cf7af,2025-03-11T19:21:45.366Z
4836,2024-10-16T00:00:00.000Z,FLOODING,2024-08-05T00:00:00.000Z,2024-08-06T00:00:00.000Z,Major Disaster,AK,Alaska                        ,Flood,2024-10-16T00:00:00.000Z,2024-10-16T00:00:00.000Z,,10,1,0,1,1,F,2024-09-19T00:00:00.000Z,https://www.fema.gov/disaster/4836,https://gis.fema.gov/maps/dec_4836.zip,https://gis.fema.gov/maps/dec_4836.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4836%27,14fd1c2d-ddc6-4348-a214-683ee8fca326,17bec0e3701e61f5443a8ccbffc74fd569150d35,2025-03-11T19:21:45.366Z
4834,2024-10-11T00:00:00.000Z,HURRICANE MILTON ,2024-10-05T00:00:00.000Z,2024-11-02T00:00:00.000Z,Major Disaster,FL,Florida                       ,Hurricane,2024-10-12T00:00:00.000Z,2024-11-04T00:00:00.000Z,,4,1,0,1,1,"F,H",2024-10-11T00:00:00.000Z,https://www.fema.gov/disaster/4834,https://gis.fema.gov/maps/dec_4834.zip,https://gis.fema.gov/maps/dec_4834.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4834%27,546c0110-b3f5-44c8-9d22-a7f3a0db120f,ad64719f0700164e52d053b18f06dd4effa233fa,2025-03-11T19:21:45.366Z
5540,2024-10-06T00:00:00.000Z,BEAR DEN FIRE,2024-10-05T00:00:00.000Z,2024-10-21T00:00:00.000Z,Fire Management,ND,North Dakota                  ,Fire,2024-10-12T00:00:00.000Z,2025-01-24T00:00:00.000Z,,8,0,0,1,1,R,2024-10-06T00:00:00.000Z,https://www.fema.gov/disaster/5540,,,,324916b3-dbdb-4c4b-90f9-ffdb494de7e6,dc150f731b15a30da14a4aae03b6d163afcc64b6,2025-03-11T19:21:45.366Z
4833,2024-10-04T00:00:00.000Z,WATCH FIRE,2024-07-10T00:00:00.000Z,2024-07-17T00:00:00.000Z,Major Disaster,AZ,Arizona                       ,Fire,2024-10-04T00:00:00.000Z,2024-10-04T00:00:00.000Z,,9,1,0,1,1,R,2024-08-16T00:00:00.000Z,https://www.fema.gov/disaster/4833,https://gis.fema.gov/maps/dec_4833.zip,https://gis.fema.gov/maps/dec_4833.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4833%27,a59115ab-0120-40b8-b844-91e397830d0d,a811556c84bc2109a79422ebd15ca74f52f64161,2025-03-11T19:21:45.366Z
4832,2024-10-02T00:00:00.000Z,TROPICAL STORM HELENE,2024-09-26T00:00:00.000Z,2024-09-30T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Tropical Storm,2024-10-02T00:00:00.000Z,2024-11-04T00:00:00.000Z,,4,1,0,1,1,"4,W",2024-09-30T00:00:00.000Z,https://www.fema.gov/disaster/4832,https://gis.fema.gov/maps/dec_4832.zip,https://gis.fema.gov/maps/dec_4832.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4832%27,24023c2e-0d6c-4fcf-81ab-a84a37f5a9ee,7a7263b4beb453eefb68c62d534c8025e4373347,2025-03-11T19:21:45.366Z
4831,2024-10-01T00:00:00.000Z,TROPICAL STORM HELENE,2024-09-25T00:00:00.000Z,2024-10-03T00:00:00.000Z,Major Disaster,VA,Virginia                      ,Tropical Storm,2024-10-02T00:00:00.000Z,2024-12-03T00:00:00.000Z,,3,1,0,1,1,4,2024-09-30T00:00:00.000Z,https://www.fema.gov/disaster/4831,https://gis.fema.gov/maps/dec_4831.zip,https://gis.fema.gov/maps/dec_4831.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4831%27,f51930c8-100e-4dfa-86f2-2b85ad632ad6,344094dea14415a4514ea465a31004ff470128d6,2025-03-11T19:21:45.366Z
4830,2024-09-30T00:00:00.000Z,HURRICANE HELENE,2024-09-24T00:00:00.000Z,2024-10-30T00:00:00.000Z,Major Disaster,GA,Georgia                       ,Hurricane,2024-10-01T00:00:00.000Z,2024-11-04T00:00:00.000Z,,4,1,0,1,1,"4,H",2024-09-30T00:00:00.000Z,https://www.fema.gov/disaster/4830,https://gis.fema.gov/maps/dec_4830.zip,https://gis.fema.gov/maps/dec_4830.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4830%27,a72f7ef6-6505-489d-89bb-bf0358e9c517,551ffce4db02cfa5d83441bae334fe51ccad0127,2025-03-11T19:21:45.366Z
5539,2024-09-30T00:00:00.000Z,ELK FIRE,2024-09-28T00:00:00.000Z,2024-10-22T00:00:00.000Z,Fire Management,WY,Wyoming                       ,Fire,2024-10-10T00:00:00.000Z,2025-01-08T00:00:00.000Z,,8,0,0,1,1,R,2024-09-30T00:00:00.000Z,https://www.fema.gov/disaster/5539,,,,618f86ed-5a99-4b11-9bff-bac848839805,6eafcd6572277ae9494a64df2472ef420be0a8d5,2025-03-11T19:21:45.366Z
3621,2024-09-29T00:00:00.000Z,POST-TROPICAL CYCLONE HELENE,2024-09-25T00:00:00.000Z,2024-10-03T00:00:00.000Z,Emergency,VA,Virginia                      ,Tropical Storm,2024-09-29T00:00:00.000Z,2024-11-01T00:00:00.000Z,,3,0,0,1,0,4,2024-09-28T00:00:00.000Z,https://www.fema.gov/disaster/3621,https://gis.fema.gov/maps/em_3621.zip,https://gis.fema.gov/maps/em_3621.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27EM-3621%27,61048dfc-ec86-413d-9c79-3ce64a6ad138,40e3e925ee870d378958868c56354e43e066d0e7,2025-03-11T19:21:45.366Z
4835,2024-09-29T00:00:00.000Z,TROPICAL STORM DEBBY,2024-08-04T00:00:00.000Z,2024-08-22T00:00:00.000Z,Major Disaster,SC,South Carolina                ,Tropical Storm,2024-10-14T00:00:00.000Z,2024-11-20T00:00:00.000Z,,4,0,0,1,1,"4,F,H,T",2024-09-16T00:00:00.000Z,https://www.fema.gov/disaster/4835,https://gis.fema.gov/maps/dec_4835.zip,https://gis.fema.gov/maps/dec_4835.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4835%27,25dcca4e-e14f-4868-9eb0-a0317ea4da7b,93c4f8f88b157ee3c80f00110e98b63400fd7bec,2025-03-11T19:21:45.366Z
4828,2024-09-28T00:00:00.000Z,HURRICANE HELENE,2024-09-23T00:00:00.000Z,2024-10-07T00:00:00.000Z,Major Disaster,FL,Florida                       ,Hurricane,2024-09-29T00:00:00.000Z,2024-12-30T00:00:00.000Z,,4,1,0,1,1,H,2024-09-28T00:00:00.000Z,https://www.fema.gov/disaster/4828,https://gis.fema.gov/maps/dec_4828.zip,https://gis.fema.gov/maps/dec_4828.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4828%27,4305e1e1-b41b-49be-b534-25102cdfffc1,d94d40a3561c53c2a0b5573d9f1643f8ba5c56bb,2025-03-11T19:21:45.366Z
4827,2024-09-28T00:00:00.000Z,TROPICAL STORM HELENE,2024-09-25T00:00:00.000Z,2024-12-18T00:00:00.000Z,Major Disaster,NC,North Carolina                ,Tropical Storm,2024-09-29T00:00:00.000Z,2024-12-23T00:00:00.000Z,,4,1,0,1,1,4,2024-09-27T00:00:00.000Z,https://www.fema.gov/disaster/4827,https://gis.fema.gov/maps/dec_4827.zip,https://gis.fema.gov/maps/dec_4827.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4827%27,168ad000-27b2-47a6-bef9-2cea8fb45ae8,a2c5b658ae5c61a8ab8f8f675753403aef04da94,2025-03-11T19:21:45.366Z
